university,mbti_type,mbti_desc
东北师范大学,ISFJ,守护型，温和、细致、责任感强
中国农业大学,ISTJ,稳重型，严谨、务实、工程气质
南京农业大学,ISFJ,守护型，温和、细致、责任感强
合肥工业大学,INTJ,战略型，理性、工程思维突出
太原理工大学,ISTJ,稳重型，严谨、务实、工程气质
郑州大学,ISTJ,稳重型，严谨、务实、工程气质
苏州大学,INFP,理想型，温和、富有同情心
安徽大学,ISFJ,守护型，温和、细致、责任感强
福州大学,ESFP,活力型，热情、乐观、社交能力强
暨南大学,ENFP,创意型，表达力强、跨文化融合
深圳大学,ENTP,创新型，思维活跃、技术驱动
广东工业大学,ISTJ,稳重型，严谨、务实、工程气质
广东外语外贸大学,ENFP,创意型，表达力强、语言气息浓厚
广州大学,ESFP,活力型，热情、乐观、社交能力强
河海大学,ISTJ,稳重型，严谨、务实、水利工程气质
华北电力大学,INTJ,战略型，理性、工程思维突出
上海外国语大学,ENFP,创意型，表达力强、语言气息浓厚
